危險海域編號,緯度,經度
1,22.53032,121.000067
1,22.53222,121.25061
1,22.49987,121.39893
1,21.83473,121.39755
1,21.82708,120.99792
1,21.97234,120.88793
1,22.029,120.91209
2,22.58231,121.33438
2,22.57978,121.75186
2,22.25478,121.79718
2,22.2497,121.69693
2,22.13144,121.69281
2,22.13653,121.50467
3,22.66717,121.03518
3,22.70478,121.10126
3,22.62463,121.10144
3,22.58628,121.035
4,23.24639,121.66809
4,23.24639,121.72852
4,22.75212,121.72852
4,22.75212,121.66809
5,22.19408,120.59504
5,22.14766,120.6958
5,22.13033,120.70026
5,22.06719,120.59083
6,22.31903,120.63005
6,22.16912,120.67932
6,22.2265,120.47813
6,22.36754,120.44827
7,22.38373,120.55195
7,22.24589,120.64465
7,22.1731,120.57323
7,22.31228,120.47642
8,22.83299,120.08348
8,22.83347,120.18648
8,22.78315,120.20313
8,22.78283,120.2239
8,22.76035,120.23232
8,22.71856,120.23232
8,22.71697,120.25394
8,22.6701,120.2615
8,22.66471,120.25188
8,22.63303,120.25429
8,22.63144,120.23403
8,22.44943,120.23266
8,22.45038,119.91817
8,22.49955,119.91766
8,22.49955,119.85981
8,22.91413,119.42001
8,23.07468,119.42001
8,23.07468,119.74411
8,22.74579,119.74411
8,22.74579,119.92126
8,22.77745,119.92126
8,22.77871,120.10117
9,22.88313,119.90273
9,22.88124,119.98444
9,22.79897,119.981
9,22.80024,119.90204
10,23.34888,119.34448
10,23.30316,119.39152
10,23.26153,119.34448
10,23.19591,119.34517
10,23.34072,119.2487
10,23.30222,119.22775
10,23.37409,119.25522
10,23.41348,119.34345
11,23.4993,119.54842
11,23.4993,119.63751
11,23.41647,119.63751
11,23.41647,119.54842
12,23.5104,119.56824
12,23.51048,119.57119
12,23.50741,119.57451
12,23.5093,119.57906
12,23.50953,119.5861
12,23.46411,119.57399
12,23.46592,119.55992
13,23.56603,120.12863
13,23.58082,120.12932
13,23.58082,120.1403
13,23.54778,120.14082
13,23.53535,120.14906
13,23.51788,120.14769
13,23.52024,120.12537
13,23.51662,120.11936
13,23.49442,120.11917
13,23.48797,120.12537
13,23.49348,120.15455
13,23.48324,120.15507
13,23.46844,120.14374
13,23.46498,120.14597
13,23.45947,120.14391
13,23.45159,120.13275
13,23.44718,120.1355
13,23.45396,120.15026
13,23.44718,120.15421
13,23.42765,120.14511
13,23.42797,120.15541
13,23.41584,120.14992
13,23.42954,120.08125
13,23.48938,120.04314
13,23.5492,120.06237
13,23.57311,120.09499
13,23.56525,120.09739
14,23.66371,119.35032
14,23.66371,119.44988
14,23.49694,119.44988
14,23.49694,119.12029
14,23.71307,119.24904
14,23.71037,119.35032
15,24.40526,118.35108
15,24.40526,118.45785
15,24.33849,118.45785
15,24.33849,118.39863
15,24.341,118.38678
15,24.33849,118.38266
15,24.33849,118.35108
16,24.41777,118.43245
16,24.41355,118.43313
16,24.4112,118.42352
16,24.40776,118.42232
16,24.40526,118.42524
16,24.40808,118.43657
16,24.36664,118.43725
16,24.36571,118.51055
16,24.36336,118.50935
16,24.32207,118.46437
16,24.34115,118.38661
16,24.33365,118.37511
16,24.33349,118.34593
16,24.41433,118.34593
16,24.41777,118.34885
17,24.4198,118.45553
17,24.42472,118.46412
17,24.41378,118.47467
17,24.41066,118.45296
17,24.41495,118.45081
17,24.41777,118.45622
18,24.42662,118.50336
18,24.42662,118.50411
18,24.425,118.50411
18,24.425,118.50336
19,24.36414,118.32979
19,24.33302,118.22233
19,24.41386,118.21109
19,24.41652,118.2195
19,24.41159,118.21444
19,24.41198,118.21195
19,24.40948,118.21409
19,24.40769,118.22345
19,24.40471,118.22611
19,24.41378,118.24182
19,24.41112,118.24139
19,24.41613,118.24782
19,24.41683,118.24585
19,24.4248,118.25649
19,24.42089,118.25555
19,24.4198,118.25701
19,24.4223,118.26087
19,24.42214,118.26327
19,24.4248,118.26327
19,24.42504,118.26679
20,24.5032,118.46253
20,24.49773,118.47437
20,24.48043,118.46219
20,24.48965,118.45395
20,24.49285,118.45433
20,24.49324,118.4551
20,24.49461,118.45455
20,24.49527,118.45266
21,25.03117,119.38534
21,25.05419,119.46087
21,25.04019,119.48421
21,25.04019,119.51168
21,24.97579,119.53777
21,24.93283,119.50653
21,24.92287,119.47392
21,24.98824,119.38705
22,24.826,120.45891
22,24.63141,120.76103
22,24.32332,120.54817
22,24.53026,120.233
23,24.98855,120.92102
23,24.93563,120.98351
23,24.84532,120.91759
23,24.90824,120.84412
24,25.23134,121.21387
24,25.25463,121.33987
24,25.22979,121.36356
24,25.21737,121.34605
24,25.19096,121.35086
24,25.16673,121.22623
25,25.34713,121.71135
25,25.29375,121.78104
25,25.24563,121.7292
25,25.29685,121.66225
26,25.46559,121.99974
26,25.46559,122.18239
26,25.33348,122.18239
26,25.33348,121.99974
27,25.76403,122.25105
27,25.68856,122.29637
27,25.47799,122.32796
27,25.33348,122.29706
27,25.33161,122.25174
28,25.24842,122.16797
28,25.24594,122.27783
28,24.75057,122.17209
29,25.14404,122.0121
29,25.08062,122.07047
29,25.03335,122.01485
29,25.09741,121.96129
30,24.83223,121.8346
30,24.83068,121.91666
30,24.66636,121.91666
30,24.69974,121.83357
30,24.73093,121.81675
30,24.79951,121.81744
31,24.79546,121.88747
31,24.80076,121.92078
31,24.71035,121.93932
31,24.70972,121.95477
31,24.60207,121.95717
31,24.59739,121.92249
31,24.62548,121.91597
31,24.62751,121.88438
31,24.62283,121.8861
31,24.62049,121.8746
31,24.62642,121.87117
31,24.62673,121.8643
31,24.64156,121.86378
31,24.65201,121.85863
31,24.65326,121.8643
31,24.70972,121.86396
31,24.71019,121.90086
32,24.58771,121.94035
32,24.47965,121.07012
32,24.44059,122.0327
32,24.54837,121.95511
