店家名,店家名(英文),地區,縣市,地址,統一編號,民事/刑事,說明,連結,類型
台中潛立方,,中部地區,台中市,403台中市西區公正路122號,54750578,民事,消債職權免責事件,https://www.lawsq.com/book/46518202515,背包客房
綠夜文旅,,中部地區,台中市,403台中市西區公益路201號8樓,24838106,民事,返還不當得利,https://www.lawsq.com/book/43703307241,背包客房
承億文旅 - 台中鳥日子,,中部地區,台中市,403台中市西區健行路1049號,27597690,民事/刑事/行政,"違反商標法請求損害賠償刑事附帶民事訴訟,請求賠償損害,竊盜等,損害賠償,違反商標法,商標註冊,給付資遣費等,給付資遣費",https://www.twincn.com/item.aspx?no=27597690,背包客房
荷米旅居 Hommie Inn,,中部地區,台中市,400台中市中區民族路206號,24607766 ,民事,支付命令,https://www.lawsq.com/book/43553578704,背包客房
大眾浮潛,,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路277號,21980418,刑事,業務侵占,https://www.twincn.com/item.aspx?no=21980418,背包客房
三姐民宿,,外島/離島地區,屏東縣,929屏東縣琉球鄉信義路18-2號,40794934,刑事,違反毒品危害防制條例,https://www.lawsq.com/book/27982294175,背包客房
快樂小屋,,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路8之16號,47920133,刑事,違反商標法,https://www.lawsq.com/book/28227957158,背包客房
晴空宿,,外島/離島地區,屏東縣,929屏東縣琉球鄉上杉路80之1號,47837297,民事,返還價金,https://www.lawsq.com/book/46609194849,背包客房
98旅店,,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路98號,81325801,刑事,公共危險,https://www.lawsq.com/book/44565132705,背包客房
龍洞鼻頭角潛水店,,北部地區,新北市,228新北市貢寮區龍洞街63－5號,78884702,刑事,重傷害,https://www.lawsq.com/book/2875508072,背包客房
客旅家,,南部地區,嘉義市,600嘉義市西區中正路445、447號,81307775,刑事,竊盜,https://www.lawsq.com/book/46568603633,背包客房
驛家旅店-EasyInn Hotel & Hostel-青年旅館,,南部地區,台南市,700台南市中西區成功路343號9樓,54080509,刑事,偽造文書等,https://www.lawsq.com/book/48044803256,背包客房
福憩背包客棧-和平館,,南部地區,台南市,700台南市中西區和平街91號,40950370,刑事/民事,"侵權行為損害賠償,詐欺,竊盜",https://www.twincn.com/item.aspx?no=40950370,背包客房
奇異果快捷旅店-高雄車站店,,南部地區,高雄市,80757高雄市三民區大連街88號,16889093,刑事,詐欺,https://www.lawsq.com/book/45234363183,背包客房
國泰旅社-背包客的窩,,南部地區,高雄市, 813高雄市左營區左營大路401巷33弄10號,83129241,刑事/民事,"加重詐欺等,妨害風化,竊盜,毒品危害防制條例,贓物,妨害風化,社會秩序維護法,妨害性自主,侵權行為損害賠償,社會秩序維護法,毒品危害防治條例,贓物",https://www.twincn.com/item.aspx?no=83129241,背包客房
Uno青年旅舍,,南部地區,高雄市,800高雄市新興區中山二路548號,54638652,刑事,竊盜,https://www.twincn.com/item.aspx?no=54638652,背包客房
遊大俠x七桃公寓,,南部地區,高雄市,800高雄市新興區中正三路128號,24680610,民事,給付加班費等,https://www.lawsq.com/book/48562966800,背包客房
天藝商旅,,南部地區,高雄市,801高雄市前金區六合二路149號,54299365,刑事/民事,"清償債務,支付命令,妨害家庭",https://www.twincn.com/item.aspx?no=54299365,背包客房
騏艦藍海灣&潛水度假村,,南部地區,屏東縣,94646屏東縣恆春鎮龍泉路63號1樓,"	54117920",民事,"請求損害賠償,給付票款,支付命令,聲明異議,本票裁定",https://www.twincn.com/item.aspx?no=54117920,背包客房
星空/太空艙旅店,,南部地區,屏東縣,94646屏東縣恆春鎮龍泉路63號1樓,"	81946935",刑事,竊盜,https://www.lawsq.com/book/44598700203,背包客房
途中花蓮青年旅舍,,東部地區,花蓮縣,970花蓮縣花蓮市富吉路48號,41464995,公懲,懲戒,https://www.lawsq.com/book/43695959011,背包客房
悅樂旅店‧花蓮 OLAH Poshtel Hualien,,東部地區,花蓮縣,970花蓮縣花蓮市中福路122號,83628823,刑事/民事,"請求職業災害損害賠償,支付命令,本票裁定,拍賣抵押物,清償借款,確認工程款債權存在,職業災害損害賠償,損害賠償,誣告等,更生事件,依職權裁定確定訴訟費用額,",https://www.twincn.com/item.aspx?no=83628823,背包客房
千禧山莊,,東部地區,花蓮縣,977花蓮縣豐濱鄉三富橋52號,18051091,刑事,"詐欺,違反公職人員選舉罷免法等,違反電信法,過失致死等",https://www.twincn.com/item.aspx?no=18051091,背包客房
東岸民宿,,東部地區,台東縣,959台東縣東河鄉隆昌村235-8號,10126128,刑事,違反社會秩序維護法,https://www.lawsq.com/book/44048763509,背包客房
綠島海灣會館,,外島/離島地區,台東縣,951台東縣綠島鄉漁港路10之5號,45060679,公懲,懲戒,https://www.lawsq.com/book/644225497,背包客房
戀戀火燒島,,外島/離島地區,台東縣,95142台東縣綠島鄉南寮1-80號,62977211,民事/刑事,"損害賠償,詐欺",https://www.twincn.com/item.aspx?no=62977211,背包客房
綠島9號精品渡假村,,外島/離島地區,台東縣,951台東縣綠島鄉漁港 3-1 號,37727736,民事,給付合夥出資,https://www.twincn.com/item.aspx?no=37727736,背包客房
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,,外島/離島地區,台東縣,951台東縣綠島鄉210號,62998454,刑事,"賭博,竊盜,毒品危害防制條例",https://www.twincn.com/item.aspx?no=62998454,背包客房
一直曬太陽hostel民宿(SunnyDayHostel),,外島/離島地區,台東縣,台東縣綠島鄉公館村65號,40786060,民事/刑事,"損害賠償,妨害兵役",https://www.twincn.com/item.aspx?no=40786060,背包客房
蘭嶼 嵐羽民宿,,外島/離島地區,台東縣,952台東縣蘭嶼鄉野銀197-3號,37655085,民事,損害賠償,https://www.lawsq.com/book/44389430621,背包客房
Water Pro 台中總店,,中部地區,台中市,407台中市西屯區市政北七路167號,83266862,民事/刑事,侵權行為損害賠償（交通）,https://www.twincn.com/item.aspx?no=83266862,潛水用品店
Aropec金鴻股份有限公司 潛水衝浪溯溪游泳三鐵(台中店),,中部地區,台中市,42950台中市神岡區民生路122號,16866084,民事,"給付違約金等,返還模具等,除權判決,確認董事關係不存在等,損害賠償",https://www.twincn.com/item.aspx?no=16866084,潛水用品店
藍灣潛水訓練中心,,北部地區,新竹縣,300新竹市東區明湖路400巷2-1號,89248455,刑事,竊盜,https://www.lawsq.com/book/35487537536,潛水用品店
三來潛水,,北部地區,新北市,220新北市板橋區中山路二段513號,86526948,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/5141741945,潛水用品店
iDiving 愛潛水,,北部地區,台北市,111台北市士林區前港街8號,25122613,民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛水用品店
台灣潛水Taipei,,北部地區,台北市,220新北市板橋區縣民大道三段187巷14號,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛水用品店
藍波潛水用品店,,北部地區,基隆市,203基隆市中山區文化路100號,98102966,刑事,過失致死,https://www.lawsq.com/book/39935302948,潛水用品店
國傑工程企業有限公司,,北部地區,基隆市,202基隆市中正區北寧路362-1號,776690,民事,"損害賠償,給付租金等,給付工程款",https://www.twincn.com/item.aspx?no=00776690,潛水用品店
薛長興公司-三結廠,,北部地區,宜蘭縣,268宜蘭縣五結鄉五結中路三段102號,41910405,民事/刑事,"竊盜,侵權行為損害賠償,詐欺等,收養認可,除權判決,公示催告,給付退休金等,營利事業所得稅",https://www.twincn.com/item.aspx?no=41910405,潛水用品店
藍海潛水用品社,,東部地區,花蓮縣,950台東縣台東市正氣路39號,93673847,民事,返還所有物,https://www.lawsq.com/book/31600442936,潛水用品店
水盈寶潛水器材企業行,,南部地區,台南市,709台南市安南區安和路二段300巷26號之1號,17977833,民事,"損害賠償,給付貨款",https://www.twincn.com/item.aspx?no=17977833,潛水用品店
水領域潛水中心,,南部地區,台南市,710台南市永康區復興路33巷30號,25122613,民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛水用品店
羅浮潛水中心,,南部地區,高雄市,830高雄市鳳山區立志街152號,85889317,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/4541816571,潛水用品店
蓬萊潛水,,南部地區,高雄市,802高雄市苓雅區,89417445,民事,"損害賠償,指定遺產管理人",https://www.twincn.com/item.aspx?no=89417445,潛水用品店
日日選品Daily.day,,外島/.離島地區,屏東縣,929屏東縣琉球鄉觀光港路12-9號,12254844,民事/刑事,"聲請清算程序,債務人異議之訴,履行契約等,更生事件,給付代收租金等,給付貨款,給付土地使用費等,偽造文書等,免責,侵占,清算,損害賠償,業務侵占",https://www.twincn.com/item.aspx?no=12254844,潛水用品店
台灣潛水企業有限公司,,南部地區,高雄市,814高雄市仁武區霞海南一街33號,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛店
蓬萊潛水,,南部地區,高雄市,802高雄市高雄市苓雅區建國一路233號,89417445,民事,"損害賠償,指定遺產管理人",https://www.twincn.com/item.aspx?no=89417445,潛店
羅浮潛水中心,,南部地區,高雄市,830高雄市鳳山區立志街152號,85889317,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/4541816571,潛店
帶福新樂園潛水中心,,南部地區,屏東縣,946屏東縣恆春鎮恆南路2巷2弄24號,53477550,民事/刑事,"支付命令,偽造文書,返還所有物等",https://www.twincn.com/item.aspx?no=53477550,潛店
藍灣潛水訓練中心,,北部地區,新竹市,300新竹市東區明湖路400巷2-1號,"	89248455",刑事,竊盜,https://www.lawsq.com/book/35487537536,潛店
台灣潛水Taipei ,,北部地區,新北市,220新北市板橋區縣民大道三段187巷14號,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛店
海底玩家潛水訓練中心,,北部地區,新北市,234新北市永和區中山路一段193-1號,80013816,民事/刑事,"清償借款,聲請交付審判",https://www.twincn.com/item.aspx?no=80013816,潛店
國傑工程企業有限公司,,北部地區,基隆市,202基隆市中正區北寧路362-1號,776690,民事,"損害賠償,給付租金等,給付工程款",https://www.twincn.com/item.aspx?no=00776690,潛店
夢想家潛水,,北部地區,桃園市,334桃園市八德區忠勇三街87號,72840284,民事,確認僱傭關係存在,https://www.lawsq.com/book/45593082448,潛店
iDiving愛潛水,,北部地區,台北市,111台北市士林區前港街8號,"	25122613",民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛店
1988潛水家,,北部地區,台北市,10586台北市松山區健康路408號1樓,50788496,民事,返還課程費用,https://www.lawsq.com/book/46308090651,潛店
好野人休閒事業有限公司,,東部地區,花蓮縣,970花蓮縣花蓮市水源街79巷8號,24328547,民事,損害賠償,https://www.twincn.com/item.aspx?no=24328547,潛店
勝宏浮潛,,外島/離島地區,台東縣,951台東縣綠島鄉漁港7號,36859842,刑事/民事,"違反廢棄物清理法,業務過失致死,損害賠償,更生事件,偽造有價證券,給付貨款,給付勞工保險費",https://www.twincn.com/item.aspx?no=36859842,潛店
綠島海灣會館,,外島/離島地區,台東縣,951台東縣綠島鄉漁港路10之5號,45060679,公懲,懲戒,https://www.lawsq.com/book/644225497,潛店
戀戀火燒島,,外島/離島地區,台東縣,95142台東縣綠島鄉南寮1-80號,62977211,刑事/民事,"損害賠償,詐欺",https://www.twincn.com/item.aspx?no=62977211,潛店
小琉球-小綠龜潛水,,外島/離島地區,屏東縣,929屏東縣琉球鄉和平路32-5號,37677497,民事/刑事,"侵權行為損害賠償,請求侵權行為損害賠償,業務過失重傷害,分割共有物",https://www.twincn.com/item.aspx?no=37677497,潛店
小琉球 小丑魚浮潛,,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路925號,81357726,民事/刑事,"損害賠償,業務過失致死",https://www.twincn.com/item.aspx?no=81357726,潛店
大眾浮潛,,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路277號,21980418,刑事,業務侵占,https://www.twincn.com/item.aspx?no=21980418,潛店
