店家名,店家名(英文),地區,縣市,地址,統一編號,民事/刑事,說明
Water Pro 台中總店,,中部地區,台中市,407台中市西屯區市政北七路167號,83266862,民事/刑事,
Aropec金鴻股份有限公司 潛水衝浪溯溪游泳三鐵(台中店),,中部地區,台中市,42950台中市神岡區民生路122號,16866084,民事,
藍灣潛水訓練中心,,北部地區,新竹縣,300新竹市東區明湖路400巷2-1號,89248455,刑事,
三來潛水,,北部地區,新北市,220新北市板橋區中山路二段513號,86526948,刑事,
iDiving 愛潛水,,北部地區,台北市,111台北市士林區前港街8號,25122613,民事,
台灣潛水Taipei,,北部地區,台北市,220新北市板橋區縣民大道三段187巷14號,79838170,民事/刑事,
藍波潛水用品店,,北部地區,基隆市,203基隆市中山區文化路100號,98102966,刑事,
國傑工程企業有限公司,,北部地區,基隆市,202基隆市中正區北寧路362-1號,776690,民事,
薛長興公司-三結廠,,北部地區,宜蘭縣,268宜蘭縣五結鄉五結中路三段102號,41910405,民事/刑事,
藍海潛水用品社,,東部地區,花蓮縣,950台東縣台東市正氣路39號,93673847,民事,
水盈寶潛水器材企業行,,南部地區,台南市,709台南市安南區安和路二段300巷26號之1號,17977833,民事,
水領域潛水中心,,南部地區,台南市,710台南市永康區復興路33巷30號,25122613,民事,
羅浮潛水中心,,南部地區,高雄市,830高雄市鳳山區立志街152號,85889317,刑事,
蓬萊潛水,,南部地區,高雄市,802高雄市苓雅區,89417445,民事,
日日選品Daily.day,,外島/.離島地區,屏東縣,929屏東縣琉球鄉觀光港路12-9號,12254844,民事/刑事,
