店名,緯度,經度,地址
海咖潛水用品店,24.0860344,120.6921717,412台中市大里區長春路115巷61號
HERTZ自由潛水,24.12786819,120.6730755,402台中市南區信義南街81巷19號1樓
海嬉潛水店 Ocean Fun Diving Shop,24.1487531,120.6767178,40443台中市北區原子街154號
鵬隆行 潛水SUP風浪板,24.14902237,120.6814087,404北區太平路149號
slowdive 漫潛,24.15750822,120.6843284,404台中市北區美德街20號
藏水自由潛水用品社,24.15859358,120.6813005,404台中市北區健行路425巷6號
乖巧鯊潛水訓練中心,24.16475358,120.6683502,404台中市北區太原路一段460-5號
海洋芒果 台中市政店,24.15557303,120.647361,40758台中市西屯區大墩十七街110號
BMDivers-三川潛水用品-Diving gears,24.1647839,120.6462678,407台中市西屯區臺灣大道三段186號
Water Pro 中港店,24.16492381,120.6436997,407台中市西屯區臺灣大道三段301號12樓
Water Pro 台中總店,24.16463343,120.6410626,407台中市西屯區市政北七路167號
昊洋水上運動用品,24.15315532,120.6127137,408245台中市南屯區嶺東路912號1樓
碧海藍天國際潛水飛行聯盟,24.18253348,120.6242496,407台中市西屯區福科路222號
Taiwan Diving Monkey Dive Center 台灣潛水猴訓練中心&裝備用品公司,24.18411723,120.6205844,407台中市西屯區福科路362巷32號
宇洋潛水Cosmos Ocean逢甲旗艦店,24.1835227,120.6451962,407台中市西屯區福星北二街5號
Aropec金鴻股份有限公司 潛水衝浪溯溪游泳三鐵(台中店),24.24123313,120.6747383,42950台中市神岡區民生路122號
JIT CMAS 就愛台灣潛水,24.15722006,120.722003,41155台中市太平區育賢路108號9樓
中性浮力社,24.76986208,121.0568087,310新竹縣竹東鎮光明路
Divercity竹科戶外人,24.78128258,121.0755394,307新竹縣芎林鄉文山路697號
長隆潛水竹北店,24.81229465,121.0328388,"No, No. 45復興二路竹北市新竹縣302"
速捷戶外露營用品生活館,24.8322596,121.0182854,302新竹縣竹北市縣政二路207號
藍灣潛水訓練中心,24.78546267,120.9671908,300新竹市東區明湖路400巷2-1號
亞伯斯科技潛水有限公司,24.86371537,120.9951844,303新竹縣湖口鄉榮光一路198號
新竹潛水蟲 EOT 潛水訓練中心,24.87592302,120.9911945,304新竹縣新豐鄉仁愛街55巷25號
亞潮潛水中心,24.99944394,121.5439311,116台北市文山區興隆路一段235號
台灣潛水Taipei,25.02506832,121.4791958,220新北市板橋區縣民大道三段187巷14號
海洋芒果潛水裝備專賣店 大安店,25.02843153,121.5426961,10664台北市大安區復興南路二段148巷12號
Ladiyo Store 自由潛水裝備店,25.03969416,121.5530052,106台北市大安區忠孝東路四段216巷29號G4
Water Pro 台北總店,25.04400044,121.551129,106台北市大安區忠孝東路四段181巷35弄7號
muii x 男子漢的浪 台北夏季直營店,25.05080848,121.5343231,10491台北市中山區松江路97巷16號2F
WATER CROSS 水越企業,25.05275271,121.5288701,104台北市中山區南京東路二段21巷15號
Water Pro 南西店,25.05273461,121.5206254,10444台北市中山區南京西路15號四樓新光三越南西三館4樓
High Bar Scuba 海8潛水中心,25.0636176,121.5229182,10491台北市中山區中山北路二段183之6號
台北樂潛 潛水中心,25.06518822,121.5297166,104台北市中山區農安街125巷2號
海世界貿易有限公司,25.06670945,121.5287038,10491台北市中山區德惠街89號
鬥陣潛水,25.04873548,121.5812973,115台北市南港區玉成街40號
藍色海,25.04875761,121.5813932,115台北市南港區玉成街40號
潛水貨倉,25.05029002,121.5814322,115台北市南港區八德路四段768巷1弄20號B1
Aropec潛水衝浪溯溪游泳三鐵戶外運動(台北店),25.04982275,121.5922813,115台北市南港區忠孝東路六段390號
Scuba Warehouse Taiwan 專業潛水裝備店,25.05887184,121.5787776,"No. 15, 行善路168巷內湖區台北市11469"
SSO SPORTS潛水滑雪裝備店,25.0650604,121.5773558,114台北市內湖區行忠路6號1樓
iDiving 愛潛水,25.08472451,121.5229722,111台北市士林區前港街8號
海人選品,25.1229824,121.5324711,111台北市士林區中山北路七段140巷4號1樓
越琳浮潛泳具品,24.92808123,121.4241382,237新北市三峽區成福路162號
IDiver海怪水下－潛水概念店(自由潛水專賣店),24.97350161,121.4398252,236新北市土城區慶利街3號
891新莊潛水家,25.02344546,121.4149638,242新北市新莊區中正路891之29號2樓
龍潛國際有限公司 LOONG DIVE INTERNATIONAL,25.06920881,121.4259134,248新北市五股區登林路77巷25號
Dive Express(DE工作室)-請先預約,25.08644336,121.4458569,24864新北市五股區芳洲五路86號
Water Pro 宏匯百貨店,25.05951977,121.4494915,24250新北市新莊區新北大道四段3號4樓
海玩子潛水訓練中心 Ocean Player Diving Center,25.02983494,121.4660381,220新北市板橋區光武街136巷8弄6號1樓
悠潛潛水,25.05252437,121.4668085,242新北市新莊區頭前路No. 60-3號
飛漩潛水,25.08124019,121.4720644,247新北市蘆洲區中山二路137巷9號1樓
日榮潛泳用品有限公司,25.0781192,121.4874227,241新北市三重區溪尾街108巷52號
逐海俱樂部潛水訓練中心,25.0838621,121.4918339,241新北市三重區富華街81號1樓
三來潛水,25.02115606,121.4828233,220新北市板橋區中山路二段513號
gogoscuba 台灣最大潛水裝備商城,25.00001552,121.4912299,235新北市中和區建八路231-1號
藍星海洋潛水俱樂部,24.99905067,121.5022929,235新北市中和區南山路27號
Fun Divers Taiwan 瘋潛水,25.00993686,121.513709,"No, No. 8和平街永和區新北市23446"
DiveXTrim潛水部落,25.05990297,121.4899853,241新北市三重區三寧街31號1樓
浮兒樂 Float Club 水上用品店,24.93222856,121.280825,334桃園市八德區建德路273號1F
正海人潛水用品企業社,24.93594475,121.2897641,334桃園市八德區仁德一路110號
Prussian blue 普魯士藍,24.98121025,121.2510658,320025桃園市中壢區吉利三街26巷21號
巡航艦潛水,24.98840455,121.2969706,330桃園市桃園區宏昌六街76號
島嶼潛水,24.99496018,121.3002437,330桃園市桃園區民安路139號
JBC潛水,24.99435604,121.3068438,330桃園市桃園區南華街207號
基隆潛水器材行,25.10050333,121.7573277,205基隆市暖暖區源遠路325巷105號
摸魚去海洋休閒中心,25.13774833,121.7499065,202基隆市中正區中正路116號
藍波潛水用品店,25.15368747,121.7345524,203基隆市中山區文化路100號
良友潛水,25.1506485,121.7661137,202基隆市中正區中正路598號
國傑工程企業有限公司,25.14000471,121.7925244,202基隆市中正區北寧路362-1號
東半球潛水企業社,24.59598607,121.8555887,270宜蘭縣蘇澳鎮蘇東路6之8號
歐都納戶外用品(宜蘭羅東店),24.68296616,121.7701373,265宜蘭縣羅東鎮興東路242號
薛長興公司-三結廠,24.70241418,121.7882945,268宜蘭縣五結鄉五結中路三段102號
國際水上用品,24.78323333,121.76428,262宜蘭縣礁溪鄉武暖路6-2號
極酷衝浪俱樂部G-cool Surf Club,24.87375325,", 121.83947074852557",261宜蘭縣頭城鎮烏石港路93-2號
包捷潛水,24.94338255,121.9028426,261宜蘭縣頭城鎮濱海路六段70號
和平潛水,23.9734336,121.6036522,970花蓮縣花蓮市和平路341號
自然休閒,23.97492331,121.6048754,970花蓮縣花蓮市仁愛街72號
水世界運動休閒用品,23.98936542,121.594295,970花蓮縣花蓮市富國路155號
PADI Diving Center,23.99657084,121.6010327,970花蓮縣花蓮市富裕二街169號
藍海潛水用品社,22.7503707,121.1541666,950台東縣台東市正氣路39號
歐都納戶外用品(台東店),22.75753659,121.142712,950台東縣台東市新生路332號
東河潛水,22.96986266,121.3035145,959台東縣東河鄉東河村13鄰364號
