店家,緯度,經度,地址,評論
雲林,,,,
迪卡儂 雲林店,23.70621086,120.5171477,640雲林縣斗六市雲林路二段297號,583
,,,,
嘉義,,,,
迪卡儂 嘉義店,23.47140394,120.4323684,600嘉義市西區博愛路二段461號,1815
全球技術潛水（嘉義店）,23.48774996,120.4238838,600嘉義市西區姜安街9號,11
UFO悠浮潛水,23.48182621,120.476439,600340嘉義市東區彌陀路238巷98弄82號,7
,,,,
台南,,,,
迪卡儂 台南仁德店,23.00154159,120.2750494,717台南市仁德區中山路799號,5242
裝備租客,22.99804404,120.1790377,708台南市安平區育平七街80巷27號,852
水盈寶潛水器材企業行,23.04617412,120.2417387,709台南市安南區安和路二段300巷26號之1號,20
銀色快手台南潛水中心,23.02136377,120.2697362,710台南市永康區永勝街35號,6
水領域潛水中心,23.0033517,120.2635564,710台南市永康區復興路33巷30號,5
高手潛水,22.99238558,120.2275702,701台南市東區東門路二段384號,16
三木子潛水選品,22.98708873,120.205847,700台南市中西區忠義路一段40號,58
,,,,
高雄,,,,
泡泡隆潛水(高雄店),22.75615813,120.3569756,811高雄市楠梓區清豐路78巷1號,3
台灣潛水企業有限公司,22.69456589,120.3531076,814高雄市仁武區霞海南一街33號,496
Aropec潛水衝浪溯溪游泳三鐵戶外運動(高雄店),22.67983665,120.2764832,813高雄市左營區自由二路330號,382
Orange Marine Diving Pro Shop,22.65616313,120.4203919,831高雄市大寮區九和路8-2號,1
羅浮潛水中心,22.62891352,120.3739374,830高雄市鳳山區立志街152號,5
多樂潛水,22.64259074,120.3371573,807高雄市三民區淵源街1號,32
蓬萊潛水,22.63621412,120.3221798,802高雄市苓雅區,8
日大潛水RIDA Diving (全台最大潛水用品專賣店）,22.63375796,120.310936,800高雄市新興區民生一路164號,1359
Scuba YD 專業潛水用品店-旗艦店,22.63660986,120.299263,80049高雄市新興區中山一路57號美麗島捷運站2號出口,307
放火燒潛水裝備Molchanovs Double K Taiwan,22.63280731,120.2893066,801高雄市前金區前金二街101號,637
DECATHLON 迪卡儂 高雄亞灣店,22.60557657,120.3258298,806高雄市前鎮區時代大道33號,1949
DECATHLON 迪卡儂 高雄鳳山店,22.63821815,120.3550123,830高雄市鳳山區文化路59號,3949
DECATHLON 迪卡儂 高雄楠梓店,22.74238963,120.3499552,811高雄市楠梓區土庫一路60號,944
,,,,
屏東,,,,
台灣潛水墾丁店,21.94440372,120.7365902,946屏東縣恆春鎮大光路55-60號,2390
墾丁舒服潛水,21.9448596,120.7434265,946屏東縣恆春鎮大光路79-49號,62
DECATHLON 迪卡儂 屏東店,22.68402926,120.4875214,900屏東縣屏東市自由路550號1樓,3411
日日選品Daily.day,22.35061725,120.3836608,929屏東縣琉球鄉觀光港路12-9號,2
,,,,
澎湖,,,,
PADI澎湖興仁潛水訓練中心,23.55225502,119.6431404,88053澎湖縣馬公市烏崁里128號之25,1167
澎湖潛水會,23.56691819,119.5702178,880澎湖縣馬公市漁隆路7-1號,53
